content,contentTranslation,languageInEnglish,preprocessed
S IIIIIIIIIIII XX,S 32,Latin,s iiiiiiiiiiii xx
"Vasileus habitat
Putelis (:Puteolis) in castris August[i - - -]
su(b) Valeri[o - - -]",Vasileus lives at Puteoli in the camp of the emperor under (the command of) Valerius,Latin,"vasileus habitat, puteolis in castris augusti  , sub valerio  "
"Mortus (:Mortuus)
Ercolanius (:Hercolanius)",Hercolanius is dead.,Latin,"mortuus, hercolanius"
"&#919;dibus (:Idibus) Ianyaris (:Ianuarias)
mystacogus (:mystagogus, &#956;&#965;&#963;&#964;&#945;&#947;&#969;&#947;&#972;&#962;) docens
GEBEUM et &#7864;t&#803;o&#803;e&#803;n
l&#803;u&#803;c&#803;i&#803;a&#803;n&#803;+ VIC&#803;IC
","On the Ides of January, the guide (religious guide?) teaching Gebeus(?) and Etoe(?) (neither name is otherwise known) (...other letters here...)",Latin/Greek,"idibus ianuarias, mystacogus mystagogus, μυσταγωγός docens, gebeum et ẹṭọẹn, ḷục̣ịạṇ vic̣ic, "
"III non(as) M&#770;a&#770;i(as)
VII idus paeriit (:periit)","Three days before the Nones of May. Seven days before the Ides, he (it?) died.",Latin,"iii nonas m̂âias, vii idus periit"
Q(uintus?) V(---) R(---),Quintus V(- - -) R(- - -?),Latin,quintus v r
S(emis) C Y ((mille)) S(emis) S(emis),(Series of numbers?),Latin,semis c y mille semis semis
REST ((:tres lineae aequae)),Rest(itutus?),Latin,rest tres lineae aequae
IIIIIIIIIIIIIIII,16,Latin,iiiiiiiiiiiiiiii
Echio va(le),Goodbye Echio.,Latin,echio vale
S nequa(m),S never(?),Latin,s nequam
Ultas,The (women?) who have avenged (?),Latin,ultas
"[F]usci Cilix
Cilix","Cilix, (slave) of Fuscus. Cilix.",Latin,"fusci cilix, cilix"
[---]ASV M umor[---],(Other letters here...) moisture,Latin,asv m umor.
PA&#770;M,P(ublius) A(---) M(---?),Latin,pâm
Caetronius,Caetronius,Latin,caetronius
"P(ublius) Arriûs
Spaerus",,Latin,"publius arriûs, spaerus"
C(aius) Messenius Eunomus im(:in) curia,,Latin,caius messenius eunomus imin curia
"Apollinaris medicus Ti&#768;ti&#768; Impe(ratoris) &#12296;:servus&#12297;
hic cacavit bene","Apollinaris, doctor, slave of the emperor Titus, pooped well here",Latin,"apollinaris medicus tìtì imperatoris , hic cacavit bene"
