content,contentTranslation,languageInEnglish,preprocessed,translated,detected_lang,detected_conf
S IIIIIIIIIIII XX,S 32,Latin,s iiiiiiiiiiii xx,s iiiiiiiiiiii xx,,
"Vasileus habitat
Putelis (:Puteolis) in castris August[i - - -]
su(b) Valeri[o - - -]",Vasileus lives at Puteoli in the camp of the emperor under (the command of) Valerius,Latin,"vasileus habitat, puteolis in castris augusti  , sub valerio  ","Vasileus lives in the wells in the camp of Augustus, under the valerium",,
"Mortus (:Mortuus)
Ercolanius (:Hercolanius)",Hercolanius is dead.,Latin,"mortuus, hercolanius","dead, Herculaneus",,
"&#919;dibus (:Idibus) Ianyaris (:Ianuarias)
mystacogus (:mystagogus, &#956;&#965;&#963;&#964;&#945;&#947;&#969;&#947;&#972;&#962;) docens
GEBEUM et &#7864;t&#803;o&#803;e&#803;n
l&#803;u&#803;c&#803;i&#803;a&#803;n&#803;+ VIC&#803;IC
","On the Ides of January, the guide (religious guide?) teaching Gebeus(?) and Etoe(?) (neither name is otherwise known) (...other letters here...)",Latin/Greek,"idibus ianuarias, mystacogus mystagogus, μυσταγωγός docens, gebeum et ẹṭọẹn, ḷục̣ịạṇ vic̣ic, ",,,
"III non(as) M&#770;a&#770;i(as)
VII idus paeriit (:periit)","Three days before the Nones of May. Seven days before the Ides, he (it?) died.",Latin,"iii nonas m̂âias, vii idus periit","3 nines m̂âias, 7 he perished",,
Q(uintus?) V(---) R(---),Quintus V(- - -) R(- - -?),Latin,quintus v r,fifth v r,,
S(emis) C Y ((mille)) S(emis) S(emis),(Series of numbers?),Latin,semis c y mille semis semis,semis c y thousand semis semis,,
REST ((:tres lineae aequae)),Rest(itutus?),Latin,rest tres lineae aequae,three equal lines remain,,
IIIIIIIIIIIIIIII,16,Latin,iiiiiiiiiiiiiiii,iiiiiiiiiiiiiii,,
Echio va(le),Goodbye Echio.,Latin,echio vale,goodbye,,
S nequa(m),S never(?),Latin,s nequam,s wicked,,
Ultas,The (women?) who have avenged (?),Latin,ultas,revenge,,
"[F]usci Cilix
Cilix","Cilix, (slave) of Fuscus. Cilix.",Latin,"fusci cilix, cilix","brown turban, turban",,
[---]ASV M umor[---],(Other letters here...) moisture,Latin,asv m umor.,asv m umor,,
PA&#770;M,P(ublius) A(---) M(---?),Latin,pâm,p.m,,
Caetronius,Caetronius,Latin,caetronius,pitchfork,,
"P(ublius) Arriûs
Spaerus","more public arriûs, spaerus",Latin,"publius arriûs, spaerus","more public arriûs, spaerus",,
C(aius) Messenius Eunomus im(:in) curia,Caius Messenius was the eunuch of the court,Latin,caius messenius eunomus imin curia,Caius Messenius was the eunuch of the court,,
"Apollinaris medicus Ti&#768;ti&#768; Impe(ratoris) &#12296;:servus&#12297;
hic cacavit bene","Apollinaris, doctor, slave of the emperor Titus, pooped well here",Latin,"apollinaris medicus tìtì imperatoris , hic cacavit bene","Apollinaris the emperor's physician, here he pooped well",,
"Hermeros Prìmigeniae dominae:
venì Puteolos in vìco Tyaniano et quaere
a Messio numulario(:nummulario) Hermerotem Phoebì","Hermeros to his mistress Primigenia: come to Puteoli in the Tyanian street and ask from Messius, the money lender, for Hermeros (slave) of Phoebus.",Latin,"hermeros prìmigeniae dominae, venì puteolos in vìco tyaniano et quaere, a messio numularionummulario hermerotem phoebì","the hermeros of the primogeniture lady, I came to the wells in the tianian valley and sought, from the harvest of the numularium",,
"Fo&#818;rtunatus · amat · Ampl&#818;i&#818;a&#818;nda (:Ampliandam).
Ianuarius · amat · Veneria (:Veneriam).
Rogamus · damna (:domina) · Venus
ut · nos · in · mente · h&#818;a&#818;bias (:habeas)
quod te · modo · introrgamus (:interrogamus)",Fortunatus loves Amplianda. Ianuarius loves Veneria. We ask mistress Venus that you keep us in mind (and also) that which we now ask of you.,Latin,"fo̲rtunatus · amat · ampl̲i̲a̲ampliandam., ianuarius · amat · veneriam., rogamus · domina · venus, ut · nos · in · mente · h̲a̲habeas, quod te · modo · interrogamus","lucky · loves · ampl̲i̲a̲ to expand., January · loves · love.",,
XII,12,Latin,xii,xii,,
Salvia Superba,Salvia Superba,Latin,salvia superba,proud sage,,
"Misit &#12296;:vacat&#12297; iter(um?)
agnas s
o sim&#803;plex cima
nempius","He sent, a second time, female lambs (...other letters here...)",Latin,"misit iterum, agnas s, o siṃplex cima, nempius","he sent again, the lambs, O simple top, more easily",,
IVSTAR,Iusta (i.e. a name)...,Latin,ivstar,ivstar,,
&#922;&#959;&#947;&#953;&#964;&#940;&#964;&#959;&#965;&#1010; S,Cogitatus (i.e. a name),Latin/Greek,κογιτάτουϲ s,,,
"Qu[aesi]vi hic facias re[s s]erva omnes res tuas [- - -] quem nol[i - - -] nobi[s iun]ge neque servabo
ne q[ui]s ius lum(inum) salvum 
",... I asked that you do this... all your affairs... which... safe.,Latin,"quaesivi hic facias res serva omnes res tuas , quem noli  nobis iunge neque servabo, ne quis ius luminum salvum , ","I asked you to do things here, save all your things, do not join us, nor will I save him, so that no one can save the right of the lights.",,
"&#920;
Faustus
Nothus
Nothus
((:nomina FAVSTVS et NOTHVS scripta in forma trium navium, NOTHVS bis))
",Θ Faustus Nothus Nothus,Latin,"θ, faustus, nothus, nothus, nomina favstvs et nothvs scripta in forma trium navium, nothvs bis, ","θ, faustus, nothus, nothus, the names favstvs and nothvs written in the form of three ships, nothvs twice,",,
Vibidi,Of Vibidius (?) OR Vibidi(us...?),Latin,vibidi,vivid,,
ovas EVCL E VA M X P vectat,You rejoice (...other letters here...) it carries.,Latin,ovas evcl e va m x p vectat,eggs evcl e va m x p carries,,
P P P redire   si minus   innecteb(is?) et te [---],"To return, to return, if (I? he? she?) was not entangling (being entangled?) ... and you...",Latin,p p p redire  si minus  innectebis et te .,p p p to return if you will be less enticing and yourself.,,
