content,apparatus,sourceFindSpot,contentTranslation,caption,writingStyleInEnglish,languageInEnglish,cil,citation,preciseLocation,italianPropertyName,numberOfGraffiti,propertyNumber,insula.shortName,insula.fullName,insula.city.name,insula.city.pleiadesId,englishPropertyName,additionalEntrances,propertyName,descriptionInEnglish,descriptionInLatin
S IIIIIIIIIIII XX,"Textus secundum (1); periit (2)<br>Contulerunt et non invenerunt Brewer, Helms, Maddy, Nyhuis (HGP) a. 2016<br>Prope EDR140211, EDR153740, EDR153741, EDR153800","Ercolano (Napoli), Insula Orientalis II.2-3, Pistrinum",S 32,Tally marks,Graffito/incised,Latin,10651b,"AGP-EDR154423, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR154423&gt; [accessed: 27 Mar 2023]",,Pistrinum,16,2-3,InsulaOrientalisII,Insula Orientalis II,Herculaneum,432873,,,,,
"Vasileus habitat
Putelis (:Puteolis) in castris August[i - - -]
su(b) Valeri[o - - -]",Textus secundum (2)<br>v. 1: VASILEVS pro BASILIVS? (2)<br>v. 2: PVTELIS pro PVTEOLIS; AVGVST[I] (1)-(2)<br>v. 3: aliter (1) SV[- - -] VALERI[- - -]: SV[M?] VALERI[VS?] vel SV[B?] VALERI[O?] (1)<br>v. 3: VALERI[O] (2)<br>Hic titulus cum EDR140036 coniungendus sit (1)-(2)<br>Supra EDR140036,"Ercolano (Napoli), Insula III.14, Casa a Graticcio",Vasileus lives at Puteoli in the camp of the emperor under (the command of) Valerius,Graffito mentioning the city of Puteoli,Graffito/incised,Latin,10502,"AGP-EDR151822, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151822&gt; [accessed: 27 Mar 2023]",,Casa a Graticcio,5,14,III,Insula III,Herculaneum,432873,House of Wattlework,"13,15",House of Wattlework,,
((:herma viri cum palma)),"Textus secundum (3); periit (3)<br>Contulerunt sed non invenerunt Gibson, Hardy, Minnear, Smith (HGP) a. 2016.<br>Infra EDR140062 et supra EDR140034","Ercolano (Napoli), Insula VI.1,7-10, Terme Centrali (Terme Femminili)",,Drawing of a man,charcoal,,10604,"AGP-EDR147607, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR147607&gt; [accessed: 27 Mar 2023]",,Terme Centrali,21,"1,7-10",VI,Insula VI,Herculaneum,432873,Central Baths,,Central Baths,bust of man with palm,herma viri cum palma
"Mortus (:Mortuus)
Ercolanius (:Hercolanius)","Textus et mensurae secundum (1)<br>v. 1: lat.: 15,0; litt. alt.: 2,7-6,0<br>v. 2: lat.: 17,2; litt. alt.: 1,6-10,5<br>v. 1: MORTUS pro MORTUUS<br>v. 2: ERCOLANIUS pro HERCOLANIUS","Ercolano (Napoli), Terme Suburbane",Hercolanius is dead.,Graffito,Graffito/incised,Latin,Varone 2000,"AGP-EDR156998, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR156998&gt; [accessed: 27 Mar 2023]",,Terme Suburbane,13,ow2,OutsideWalls,Outside Walls,Herculaneum,432873,Suburban Baths,,Suburban Baths,,
"((:cervus a viro laqueo captus et a cane assultatus)) 
","Textus secundum (4), mensura secundum (3)<br>in iisdem aedibus, confer imagines similes<br>EDR145004, EDR145005, EDR145006, EDR145007, EDR145009, EDR145764,  EDR145765, EDR145767, EDR145768 <br>","Ercolano (Napoli), Insula IV.21, Casa dei Cervi",,Drawing of a stag,Graffito/incised,,10561,"AGP-EDR145008, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR145008&gt; [accessed: 27 Mar 2023]",,Casa dei Cervi,24,21,IV,Insula IV,Herculaneum,432873,House of Stags,,House of the Stags,stag captured by a man with a rope and attacked by a dog,cervus a viro laqueo captus et a cane assultatus
((:galea gladiatoria)),"Textus et mensura secundum (2), contulerunt et mensuras Benefiel, Gibson, Hardy, Minnear, Smith, Sypniewski (HGP) a. 2016<br>HGP mensurae, alt.: 1,5<br>HGP mensurae, lat.: 1,0<br>Prope EDR140130, EDR143814, EDR143815, EDR143832, EDR143833, EDR144659, EDR144783, EDR144784, EDR143634 et EDR157691.","Ercolano (Napoli), Insula V.35, Casa del Gran Portale",,Drawing of a gladiator helmet,Graffito/incised,,10711,"AGP-EDR147158, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR147158&gt; [accessed: 27 Mar 2023]",,Casa del Gran Portale,14,35,V,Insula V,Herculaneum,432873,House of the Grand Portal,,House of the Grand Portal,gladiator helmet,galea gladiatoria
"&#919;dibus (:Idibus) Ianyaris (:Ianuarias)
mystacogus (:mystagogus, &#956;&#965;&#963;&#964;&#945;&#947;&#969;&#947;&#972;&#962;) docens
GEBEUM et &#7864;t&#803;o&#803;e&#803;n
l&#803;u&#803;c&#803;i&#803;a&#803;n&#803;+ VIC&#803;IC
","Textus secundum (5); mensurae secundum Fiorentino apud (2). Contulerunt ad apographum Loar et Frampton a. 2014; contulerunt et emendaverunt Benefiel et Sypniewski a. 2016.<br>vv. 1-4: duo apographa a Fiorentino et de Rossi apud (2) edita sunt.<br>v. 1: litterae Graecae et Latinae intermixtae; &#919;DIBUS cum eta pro EIDIBUS (i.e. IDIBUS) scriptum est;  IANYARIS cum Y aut upsilon pro IANVARIAS scriptum est<br>v. 2: MYSTACOGVS pro MYSTAGOGVS (i.e. verbum Graecum &#956;&#965;&#963;&#964;&#945;&#947;&#969;&#947;&#972;&#962; Latine scriptum) (4); DOCENS aut DISCENS (2)<br>vv. 3-4: ? Gebeum et Etoen / ? Lucian(...) vici(...) (1), Gebeum et Etoen / lucian[   ] vici[   ] (2). <br>v. 3: Gebeus et Etoe ut nomina non nota sunt (5)<br>v. 4: Fortasse in alia manu scripta est. Lectio difficillima. (5)<br>Prope EDR151816, EDR151818","Ercolano (Napoli), Insula III.14, Casa a Graticcio","On the Ides of January, the guide (religious guide?) teaching Gebeus(?) and Etoe(?) (neither name is otherwise known) (...other letters here...)",Graffito mentioning a date and someone teaching,cetera creta,Latin/Greek,10499,"AGP-EDR140254, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR140254&gt; [accessed: 27 Mar 2023]",,Casa a Graticcio,5,14,III,Insula III,Herculaneum,432873,House of Wattlework,"13,15",House of Wattlework,,
"III non(as) M&#770;a&#770;i(as)
VII idus paeriit (:periit)","Textus et mensurae secundum (3)<br>v. 1: lat.: 17,8; litt. alt.: 3,2-11,0<br>v. 2: lat.: 20,2; litt. alt.: 0,8-6,7<br>v. 1: MAI in nexu; MAI[AS] (3) sed tectorium remanet et debet legi MAI(AS).<br>v. 2: PAERIIT pro PERIIT; II pro littera E scriptum<br>Contulerunt et mensuras prehenderunt Brewer, Handloser, Helms, Maddy, Nyhuis (HGP) a. 2016.<br>HGP mensurae, alt.: 21,4<br>HGP mensurae, lat.: 26,0<br>HGP mensurae, litt. alt.: 0,9 (v. 1, secunda I)-11,5 (v. 1, prima I)<br>Infra, in eodem pariete titulus apparetur in quo littera graeca &#931; pro littera E scriptum est: FUG&#931;O TULLIA NIGRUM LUM&#931;N ABSTULIT[+]&#931; VIVIUM (3).  Ex nostra aetate est et legi debet FALSO TULLIA NIGRUM LUMEN ABSTULIT &#931;VIVIA (4)-(5). (SVILIA, i.e. AILIVS retrograde, pro nomen Italicum Elio).","Ercolano (Napoli), Insula Orientalis II.16","Three days before the Nones of May. Seven days before the Ides, he (it?) died.",Graffito mentioning a date,Graffito/incised,Latin,10668,"AGP-EDR154574, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR154574&gt; [accessed: 27 Mar 2023]",,Bottega,2,16,InsulaOrientalisII,Insula Orientalis II,Herculaneum,432873,Shop,,Shop,,
Q(uintus?) V(---) R(---),"Textus secundum (3); periit (3). <br>Contulerunt sed non invenerunt Benefiel, Helms, Sypniewski (HGP) a. 2016.<br>v. 1: le 3 iniziali di un... cittadino (1)","Ercolano (Napoli), Insula IV.2, Casa dell'Atrio a Mosaico",Quintus V(- - -) R(- - -?),Initials,Graffito/incised,Latin,10516,"AGP-EDR140187, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR140187&gt; [accessed: 27 Mar 2023]",,Casa dell'Atrio a Mosaico,9,2,IV,Insula IV,Herculaneum,432873,House of the Mosaic Atrium,1,House of the Mosaic Atrium,,
((:galea gladiatoria cum crista)),"Textus et mensura secundum (2)<br>Contulerunt et mensuras prehenderunt Benefiel, Gibson, Hardy, Minnear, Smith (HGP) a. 2016.<br>HGP mensurae, alt.: 4,4<br>HGP mensurae, lat.: 5,2<br>Prope EDR140130, EDR143634, EDR143814, EDR143815, EDR143832, EDR143833, EDR144659, EDR144783, EDR147158 et EDR157691.","Ercolano (Napoli), Insula V.35, Casa del Gran Portale",,Drawing of a gladiator helmet,Graffito/incised,,10711,"AGP-EDR144784, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR144784&gt; [accessed: 27 Mar 2023]",,Casa del Gran Portale,14,35,V,Insula V,Herculaneum,432873,House of the Grand Portal,,House of the Grand Portal,gladiator helmet with crest,galea gladiatoria cum crista
