content,contentTranslation,languageInEnglish,preprocessed,translated
"&#919;dibus (:Idibus) Ianyaris (:Ianuarias)
mystacogus (:mystagogus, &#956;&#965;&#963;&#964;&#945;&#947;&#969;&#947;&#972;&#962;) docens
GEBEUM et &#7864;t&#803;o&#803;e&#803;n
l&#803;u&#803;c&#803;i&#803;a&#803;n&#803;+ VIC&#803;IC
","On the Ides of January, the guide (religious guide?) teaching Gebeus(?) and Etoe(?) (neither name is otherwise known) (...other letters here...)",Latin/Greek,"idibus ianuarias, mystacogus mystagogus, μυσταγωγός docens, gebeum et ẹṭọẹn, ḷục̣ịạṇ vic̣ic, ","idibus ianuarias, mystacogus mystagogus, mystagogus docens, gebeum et ẹṭọẹn, ḷụ̣ịạṇ vic̣ic,"
"&#916;&#953;&#959;&#947;&#8051;&#957;&#951;&#962; &#8001; &#954;&#965;&#957;&#953;&#954;&#8056;&#962; &#966;&#953;&#955;&#8057;&#963;&#959;&#966;&#959;&#962;
&#7984;&#948;&#8060;&#957; &#947;&#965;&#957;&#945;&#8150;&#954;&#945; &#8017;&#960;&#8056; &#960;&#959;&#964;&#945;&#956;&#959;&#8166; &#966;&#949;=
&#961;&#959;&#956;&#8051;&#957;&#951;&#957;, &#949;&#7990;&#960;&#949;&#957;&#903; &#7940;&#966;&#949;&#962; &#966;&#8051;&#961;&#949;&#963;&#963;&#952;&#945;&#953;<span class='testo_nascosto'>(:&#966;&#8051;&#961;&#949;&#963;&#952;&#945;&#953;)</span>
&#964;&#8056; &#954;&#945;&#954;&#8988;&#8056;&#8989;&#957; &#8017;&#960;&#8056; &#954;&#945;`&#954;&#959;&#8166;´ &#922;&#921;&#933;&#931;.","Diogenes the Cynic philospher, seeing a woman being carried off by the river, said: let the bad thing be carried away by the worse.",Greek,"διογένης ὁ κυνικὸς φιλόσοφος, ἰδὼν γυναῖκα ὑπὸ ποταμοῦ φε, ρομένην, εἶπεν· ἄφες φέρεσσθαιφέρεσθαι, τὸ κακ⌜ὸ⌝ν ὑπὸ κα`κοῦ´ κιυς.","Diogenes the Cynic philosopher, when he saw a woman under the river Fe, Roman, said: afes feresthaiferesthai, tc kak⌜ὸ⌝n ypὸo kakkou' kis."
"Cab=
inio (:&#931;&#945;&#946;&#943;&#957;&#953;&#959;)
S ((S retrogradum))",Sabinio (Σαβινιο),Greek,"cab, inio σαβίνιο, s s retrogradum","cab, inio savinio, s s retrogradum"
&#913;&#914;&#915;&#916;&#917;&#918;&#919;&#920;&#921;&#922;&#923;&#924;,Beginning of Greek alphabet,Greek,αβγδεζηθικλμ,avgdezithiklm
&#7961;&#961;&#956;&#943;&#945;(&#962;),Hermias (i.e. a name),Greek,ἑρμίας,Hermia
&#934;&#953;&#955;&#953;&#960;&#960;&#949;&#803;,Oh Philippos!,Greek,φιλιππε̣,Philip
&#922;&#959;&#947;&#953;&#964;&#940;&#964;&#959;&#965;&#1010; S,Cogitatus (i.e. a name),Latin/Greek,κογιτάτουϲ s,cogitatouϲ s
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin/Greek,,
"[&#8008;]&#957;&#818;&#941;&#818;&#1010;&#818;&#953;&#818;&#956;&#818;&#959;&#818;&#1010;&#818;
&#949;&#818;&#965;&#818;&#957;&#965;&#818;&#1010;&#818;
L&#818;I&#818;[-]E&#818;M&#818;",Onesimus (. . .),Greek,"ὀν̲έ̲ϲ̲ι̲μ̲ο̲ϲ̲, ε̲υ̲νυ̲ϲ̲, l̲i̲e̲m̲","ὀν̲έ̲ϲ̲ι̲μ̲ο̲ϲ̲, ε̲υ̲νυ̲ϲ̲, l̲i̲e̲m̲"
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin/Greek,,
"V Bombycion (:&#914;&#959;&#956;&#946;&#973;&#954;&#953;&#959;&#957;)
fellat",Bombycion sucks,Latin/Greek,"v bombycion βομβύκιον, fellat","v bombycion bombycion, fellat"
&#913;&#914;&#915;&#916;&#917;&#918;&#919;&#920;,Beginning of Greek alphabet,Greek,αβγδεζηθ,avgdezith
&#913;&#914;&#915;&#916;&#917;,Beginning of Greek alphabet,Greek,αβγδε,a B C D E
&#934;&#940;&#946;(&#953;&#959;&#962;),Fab(ius),Greek,φάβιος,favio
&#916;&#917;&#918;&#919;,(Part of the Greek alphabet),Greek,δεζη,dezi
&#924;&#925;&#926;&#927;&#928;&#929;&#1017;&#932;&#933;&#934;&#935;&#936;&#937;,Second half of Greek alphabet,Greek,μνξοπρϲτυφχψω,I'm sorry
&#913;&#914;&#915;&#916;,(Beginning of an alphabet),Greek,αβγδ,a B C D
&#922;&#923;&#919;&#914;&#921;&#935;&#925;,(series of Greek letters),Greek,κληβιχν,cliché
&#913;&#914;&#915;&#916;&#917;&#918;&#919;&#920;&#921;&#922;&#923;&#924;&#925;&#926;&#818;&#927;&#928;&#929;&#931;&#932;&#933;&#934;&#935;&#936;&#937;,(The whole alphabet in Greek),Greek,αβγδεζηθικλμνξ̲οπρστυφχψω,a B C D E F G H I J K L M N O Q R s t u x y Z
&#923;&#921;&#913;&#914;&#921;&#935;&#932;&#923;,(series of Greek letters),Greek,λιαβιχτλ,liavichtl
"Ocaeanus (:Oceanus)
&#969;",(...) Oceanus,Latin/Greek,"oceanus, ω","oceanus, o"
"&#12296;:columna I&#12297;
C&#932;&#929;&#913;=
&#932;&#927;&#925;&#921;=
&#922;&#927;C (:&#931;&#964;&#961;&#945;&#964;&#972;&#957;&#953;&#954;&#959;&#962;)

&#12296;:columna II&#12297;
Stra=
tonicos (:Stratonicus)
scrips(it)",", cstra, toni, coc stratonicus,,, stra, stratonicus, scripsit",Latin/Greek,", cτρα, τονι, κοc στρατόνικος,,, stra, stratonicus, scripsit",", cstra, toni, coc stratonicus,,, stra, stratonicus, scripsit"
AB,ab,Latin/Greek,ab,ab
&#928;&#961;&#972;&#954;&#955;&#945;,Πρόκλα,Latin/Greek,πρόκλα,provocation
Phlavia (:Flavia) &#920;&#818; l&#818;i&#818;g&#818;i&#818;s&#818; (:lingis),Flavia (other letters here),Latin/Greek,flavia θ̲ l̲i̲g̲i̲s̲ lingis,flavia θ̲ l̲i̲g̲i̲s̲ lingis
 πυγίζομαι,“I am being buggered.”,Greek, πυγίζομαι,I bow down
"ΕΤ[----]ΤΑΣ 
Ε[---]+Λ+Λ ","year, etc",Greek,"εττας, ελλ ","year, etc"
" ὀφθαλ =
μοὺς  [ὑ]=
πὸ  θεῶ̣[ν]
 εὐχαρι =
στῶ  τῇ
[Βαίτῃ]","“(Being healed in) my eyes by the gods, I give thanks to the Baite.”",Greek," ὀφθαλ, μοὺς ὑ, πὸ θεῶ̣ν, εὐχαρι, στῶ τῇ, βαίτῃ","ὀφθαλ, μοὺς ὑ, πὸ θεῶ̣ν, ὐχαρι, στῶ τῇ, vaṃ"
" ζήτημα
Εἴσιδι αδι 
αδι  διασω =
θείς αδι α =
δ[ι’] &#60;Ἰσ&#62;ίδωρ̣ος̣
&#60;:textus non legitur&#62; ΕΝ ","“Riddle: To Isis (adi adi), having been saved (adi adi), Isidoros . . .”",Greek," ζήτημα, εἴσιδι αδι, αδι διασω, θείς αδι α, δι’ ίδωρ̣ος̣, εν ",issue
" φιλῶ  ἧς  ὁ  &#60;ἀ&#62;ριθμὸς
Ατη","“I love (a woman) whose number is 1,308.”",Greek," φιλῶ ἧς ὁ ριθμὸς, ατη","I kiss the rhythm, ati"
Εὐπρέπης,decent,Greek,εὐπρέπης,decent
καρπο̣[---],karpọnewline,Greek,καρπο̣newline,karpọnewline
" [φι]λ̣ῶ  φιλοῦσα  μὴ  φι =
λοῦσαν.  ἐκράφη  σου
 δακτυλε̣ι̣ς̣. 
 &#60;:vacat&#62;  τί  πόλεμον
 &#60;:vacat&#62;  εἴπεις;  τοῦ  δὲ  σοῦ
 &#60;:vacat&#62;  διώλεσεν̣; ","“I love, loving one who does not love (me). It was written with your fingers (?). What war do you mean? Who killed these?”",Greek," φιλ̣ῶ φιλοῦσα μὴ φι, λοῦσαν. ἐκράφη σου, δακτυλε̣ι̣ς̣., τί πόλεμον, εἴπεις; τοῦ δὲ σοῦ, διώλεσεν̣; ","фи̣ῶ филоса мъ фи, they were kissing. Your scribe, daktelẹịṣ., what war do you say? of yours, did you heal?"
"
- - - - - -
 ψας  τοὺς  ἐμοῦ
 ὅλου̣ς̣ ++π++",",, look for me, all of you",Greek,",, ψας τοὺς ἐμοῦ, ὅλου̣ς̣ π",",, look for me, all of you"
 ἔψυγμ̣[αι],“I’ve been chilled.”,Greek, ἔψυγμ̣αι,I'm cold
Ε̣ΥΟ̣+++,ε̣υο̣,Greek,ε̣υο̣,ε̣υο̣
"Πρυτανικός
ΥΤ̣ΙΝΙ 
ΞΡΑΚ̣ΥΤ 
ΓΕΝΟΣ Ν ","rector, yṭini, ξraḳyt, genus n",Greek,"πρυτανικός, υτ̣ινι, ξρακ̣υτ, γενος ν ","rector, yṭini, ξraḳyt, genus n"
